id,outlet_id,name,name_en,name_bn,description,description_en,description_bn,price,cost_price,short_code,is_favorite,category,category_en,category_bn,is_available,image_url,video_url,tags_json,version,updated_at,deleted_at
5ad093ad-427b-40e6-a80d-0bc745055440,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Chicken Burger,Chicken Burger,চিকেন বার্গার,A classic chicken burger with a crispy patty and fresh toppings.,A classic chicken burger with a crispy patty and fresh toppings.,ক্রিস্পি প্যাটি এবং তাজা টপিংস সহ একটি ক্লাসিক চিকেন বার্গার।,175.00,,,t,Burger,Burger,বার্গার,t,https://quickbytes.buzz/uploads/menu_placeholders/burger.png,,"[""icon:burger""]",5,2026-07-06 07:41:40.668304+00,2026-07-06 07:41:40.668289+00
af093bea-1f31-4728-ae0c-e33d3dd1b486,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Mighty Meat,Mighty Meat,মাইটি মিট,"A mighty portion of meaty goodness, loaded with premium cuts and bold flavors. For the true meat lover.","A mighty portion of meaty goodness, loaded with premium cuts and bold flavors. For the true meat lover.","মাংসের ভালোতার একটি শক্তিশালী অংশ, প্রিমিয়াম কাট এবং সাহসী স্বাদে ভরা। সত্যিকারের মাংসপ্রেমীর জন্য।",399.00,,52,f,Beef,Beef,গরুর মাংস,t,https://quickbytes.buzz/uploads/menu_placeholders/beef-3.png,,"[""icon:beef""]",3,2026-07-12 12:27:58.346318+00,2026-07-12 12:27:58.346296+00
d623083c-21e7-4c4e-9a93-143c51ad773c,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Two Star Combo,Two Star Combo,টু স্টার কম্বো,"A combo set with 4 pieces of wings, fries, and a refreshing drink. Twinkle twinkle two star.","A combo set with 4 pieces of wings, fries, and a refreshing drink. Twinkle twinkle two star.","৪ পিস উইংস, ফ্রাইজ এবং একটি রিফ্রেশিং ড্রিংক সহ একটি কম্বো সেট। টুইঙ্কল টুইঙ্কল টু স্টার।",260.00,,,f,Combo,Combo,কম্বো,t,https://quickbytes.buzz/uploads/menu_placeholders/chicken-1.png,,"[""icon:chicken"", ""inc:4 Pcs Wings"", ""inc:Fries"", ""inc:Drink 250 ml""]",2,2026-07-06 07:42:43.867625+00,2026-07-06 07:42:43.86761+00
fa731df9-40c3-4b63-a0eb-541398a00bec,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Cappuccino,Cappuccino,ক্যাপুচিনো,"Classic Italian coffee with equal parts espresso, steamed milk, and foam, topped with a dusting of cocoa.","Classic Italian coffee with equal parts espresso, steamed milk, and foam, topped with a dusting of cocoa.","ক্লাসিক ইতালিয়ান কফি যাতে সমান অংশ এসপ্রেসো, স্টিমড দুধ ও ফেনা থাকে, উপরে কোকো ছিটানো।",200.00,,64,f,Hot Coffee,Hot Coffee,গরম কফি,t,https://quickbytes.buzz/uploads/menu_placeholders/tea_and_coffee.png,,"[""icon:tea_coffee""]",1,2026-07-06 07:42:53.855294+00,2026-07-06 07:42:53.855278+00
16a48229-9d60-4fad-9fb7-d2083cf706ca,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Classic Meat Box,Classic Meat Box,ক্লাসিক মিট বক্স,A classic meat box with a selection of meats. Perfect for meat lovers.,A classic meat box with a selection of meats. Perfect for meat lovers.,মাংসের একটি নির্বাচন সহ একটি ক্লাসিক মিট বক্স। মাংসপ্রেমীদের জন্য উপযুক্ত।,219.00,,,f,Meat Box,Meat Box,মিট বক্স,t,https://quickbytes.buzz/uploads/menu_placeholders/grill.png,,"[""icon:grill""]",1,2026-07-06 07:43:36.817368+00,2026-07-06 07:43:36.817353+00
9b321f61-79d2-40f2-987c-0e751576d3b0,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Espresso (30ml Raw Coffee),Espresso (30ml Raw Coffee),এসপ্রেসো (৩০ মিলি কাঁচা কফি),"A bold and intense shot of pure coffee essence, crafted from premium raw coffee beans for a rich, invigorating start to your day.","A bold and intense shot of pure coffee essence, crafted from premium raw coffee beans for a rich, invigorating start to your day.","একটি শক্তিশালী এবং তীব্র খাঁটি কফির শট, যা প্রিমিয়াম কাঁচা কফি বিন থেকে তৈরি, আপনার দিন শুরু করার জন্য একটি সমৃদ্ধ ও সতেজকর অভিজ্ঞতা।",130.00,,56,f,Hot Coffee,Hot Coffee,গরম কফি,t,https://quickbytes.buzz/uploads/menu_placeholders/tea_and_coffee.png,,"[""icon:tea_coffee""]",1,2026-07-06 07:42:57.130234+00,2026-07-06 07:42:57.13022+00
b849f7c2-bffe-44cf-ad49-00b84884ef80,384b833e-d0f6-4e46-b61d-2c938b36eb0d,All In One Beef,All In One Beef,অল ইন ওয়ান বিফ,Topped with mixed all kind of ingredients with beef. A beef lover's paradise.,Topped with mixed all kind of ingredients with beef. A beef lover's paradise.,বিফ সহ সব ধরনের উপকরণ মিশিয়ে টপ করা। গরুর মাংস প্রেমীদের স্বর্গ।,390.00,,,f,Pizza,Pizza,পিৎজা,t,https://quickbytes.buzz/uploads/menu_placeholders/beverages.png,,"[""icon:general"", ""option:Medium:0"", ""option:Large:100""]",1,2026-07-06 07:43:52.507333+00,2026-07-06 07:43:52.507318+00
235f9a15-4427-4f0a-833a-fa5028e547a9,384b833e-d0f6-4e46-b61d-2c938b36eb0d,All in one Chicken,All in one Chicken,অল ইন ওয়ান চিকেন,Topped with mixed all kind of ingredients with beef. A hearty pizza for meat lovers.,Topped with mixed all kind of ingredients with beef. A hearty pizza for meat lovers.,বিফ সহ সব ধরনের উপকরণ মিশিয়ে টপ করা। মাংসপ্রেমীদের জন্য একটি হৃদয়গ্রাহী পিৎজা।,235.00,,,f,Pizza,Pizza,পিৎজা,t,https://quickbytes.buzz/uploads/menu_placeholders/beverages.png,,"[""icon:general"", ""option:Small:0"", ""option:Medium:120"", ""option:Large:220""]",1,2026-07-06 07:43:53.959525+00,2026-07-06 07:43:53.95951+00
803c443d-eda9-4fc4-98b4-6c29a066beee,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Blast Pizza,Blast Pizza,ব্লাস্ট পিৎজা,"Topped with corn, slice sausage, chicken, cheese, and capsicum. A delightful combination of flavors in every bite.","Topped with corn, slice sausage, chicken, cheese, and capsicum. A delightful combination of flavors in every bite.","ভুট্টা, স্লাইস সসেজ, চিকেন, পনির এবং ক্যাপসিকাম দিয়ে টপ করা। প্রতিটি কামড়ে স্বাদের একটি চমৎকার সমন্বয়।",199.00,,,f,Pizza,Pizza,পিৎজা,t,https://quickbytes.buzz/uploads/menu_placeholders/beverages.png,,"[""icon:general"", ""option:Small:0"", ""option:Medium:100"", ""option:Large:200""]",1,2026-07-06 07:43:58.450862+00,2026-07-06 07:43:58.450848+00
f81da58a-486a-43cf-a8c5-20388b60be1c,384b833e-d0f6-4e46-b61d-2c938b36eb0d,Double Cheese,Double Cheese,ডাবল চিজ,Topped with two kinds of cheese for an extra cheesy experience.,Topped with two kinds of cheese for an extra cheesy experience.,অতিরিক্ত চিজি অভিজ্ঞতার জন্য দুই ধরনের পনির দিয়ে টপ করা।,215.00,,,f,Pizza,Pizza,পিৎজা,t,https://quickbytes.buzz/uploads/menu_placeholders/beverages.png,,"[""icon:general"", ""option:Small:0"", ""option:Medium:110"", ""option:Large:210""]",1,2026-07-06 07:44:03.958016+00,2026-07-06 07:44:03.958001+00
